id,place,address,category,age,withnum,house,foodprice,nature,history,resting,performance,culture,leports,shopping,food
1,그랜드워커힐서울,서울 광진구 워커힐로 177-0,호텔,,234,1,,,,,,,,,
2,뚝섬한강공원,서울 광진구 강변북로 139-0,도시공원,,1234,,,2,,,,,,,
3,비스타워커힐서울,서울 광진구 워커힐로 177-0,호텔,,34,,,,,,,,,,
4,롯데시네마건대입구,서울 광진구 아차산로 272-0,공연시설,,1234,,,,,,3,,,,
5,CGV건대입구,서울 광진구 아차산로30길 26-0,공연시설,,1234,,,,,,3,,,,
6,중곡제일시장,서울 광진구 긴고랑로11길 14-0,시장,,1234,,,,,,,,,4,
7,영화사,서울 광진구 영화사로 107-0,종교성지,,1234,,,,,,,,,,
8,노룬산골목시장,서울 광진구,시장,,1234,,,,,,,,,4,
9,동서울호텔,서울 광진구 구의강변로 38-0,호텔,,234,1,,,,,,,,,
10,예스24라이브홀,서울 광진구 구천면로 20-0,공연시설,,1234,,,,,,1,,,,
11,CGV강변,서울 광진구 광나루로56길 85-0,공연시설,,1234,,,,,,3,,,,
12,호텔더디자이너스건대점,서울 광진구 천호대로 521-0,호텔,,1234,1,,,,,,,,,
13,자양전통시장,서울 광진구 자양로13길 72-0,시장,,1234,,,,,,,,,4,
14,신성종합시장,서울 광진구 용마산로 50-0,시장,,1234,,,,,,,,,4,
15,아차산,서울 광진구,자연경관(산),,1234,,,3,,,,,,,
16,호텔더디자이너스프리미어건대,서울 광진구 동일로 172-0,호텔,,23,1,,,,,,,,,
17,아차산배수지체육공원,서울 광진구 천호대로 731-0,도시공원,,1234,,,2,,,,,,,
18,구의야구공원,서울 광진구 광나루로 571-0,레저스포츠시설,,1234,,,2,,,,,,,
19,우리유황온천,서울 광진구 자양로5길 33-0,웰니스관광,,234,,,,,2,,,,,
20,어린이회관눈썰매장,서울 광진구 광나루로 441-0,육상레저스포츠,,234,,,,,5,,,,,
21,메가박스군자,서울 광진구 능동로 289-0,공연시설,,1234,,,,,,3,,,,
22,컬리넌호텔건대1호점,서울 광진구 동일로 212-0,호텔,,23,1,,,,,,,,,
23,긴고랑공원,서울 광진구,도시공원,,1234,,,2,,,,,,,
24,에이치에비뉴건대점,서울 광진구 동일로 156-0,호텔,,23,1,,,,,,,,,
25,호텔케이월드,서울 광진구 동일로 90-0,호텔,,23,1,,,,,,,,,
26,컬리넌호텔건대2호점,서울 광진구 동일로 214-0,호텔,,123,1,,,,,,,,,
27,호텔부티크나인능동점,서울 광진구 천호대로 560-0,호텔,,123,1,,,,,,,,,
28,구의시장,서울 광진구 광나루로37길 10-15,시장,,1234,,,,,,,,,4,
29,파라다이스카지노워커힐,서울 광진구 워커힐로 177-0,기타문화관광지,,23,,,,,,,,,,
30,위시앤스테이모텔,서울 광진구 광나루로 594-0,모텔,,23,2,,,,,,,,,
31,면곡시장,서울 광진구 답십리로76길 5-4,시장,,1234,,,,,,,,,4,
32,뚝섬한강공원벽천마당,서울 광진구,도시공원,,1234,,,2,,,,,,,
33,자양종합시장,서울 광진구 자양번영로6길 20-0,시장,,1234,,,,,,,,,4,
34,아차산생태공원,서울 광진구,도시공원,,1234,,,2,,,,,,,
35,한강호텔,서울 광진구 아차산로78길 147-0,호텔,,1234,1,,,,,,,,,
36,그랜드워커힐더글라스하우스,서울 광진구 워커힐로 177-0,호텔,,34,1,,,,,,,,,
37,TTM스퀘어,서울 광진구 아차산로 355-0,쇼핑몰,,1234,,,,,,,,,,
38,기원정사,서울 광진구 영화사로11길 41-8,종교성지,,1234,,,,,,,,,,
39,서울거리예술창작센터,서울 광진구 아차산로 710-0,기타문화관광지,,234,,,,,,1,,,,
40,펜타즈호텔,서울 광진구 능동로 92-0,호텔,,34,1,,,,,,,,,
41,샐몬모텔,서울 광진구 동일로 367-0,모텔,,123,2,,,,,,,,,
42,아차산배수지축구장,서울 광진구 천호대로 731-0,레저스포츠시설,,1234,,,2,,,,,,,
43,광진광장공원,서울 광진구,도시공원,,1234,,,2,,,,,,,
44,워커힐숲길,서울 광진구,기타관광,,1234,,,2,,,,,,,
45,용암사,서울 광진구 용마산로28길 62-0,종교성지,,1234,,,,,,,,,,
46,정말공원,서울 광진구,도시공원,,1234,,,2,,,,,,,
47,광진문화예술회관나루아트센터,서울 광진구 능동로 76-0,공연시설,,234,,,,,,1,,,,
48,자양골목시장,서울 광진구 자양로15길 96-0,시장,,1234,,,,,,,,,4,
49,암웨이에이스테이션스타시티점,서울 광진구 능동로 110-0,기타쇼핑시설,,234,,,,,7,,,,,
50,한강시민공원뚝섬지구수영장,서울 광진구,테마공원,,234,,,,,6,,,,,
51,어린이회관수영장,서울 광진구 능동로 216-0,테마공원,,234,,,,,6,,,,,
52,중곡동가구거리,서울 광진구,기타쇼핑시설,,234,,,,,,,,,,
53,극단씨앗,서울 광진구 답십리로78길 26-0,기타문화관광지,,1234,,,,,,1,,,,
54,해오름공원,서울 광진구,도시공원,,1234,,,2,,,,,,,
55,뚝섬전망문화콤플렉스,서울 광진구 강변북로 68-0,복합관광시설,,1234,,,,,,,5,,,
56,와팝홀,서울 광진구 능동로 238-0,공연시설,,234,,,,,,1,,,,
57,피넛호텔,서울 광진구 자양로 63-0,모텔,,23,2,,,,,,,,,
58,테니스UP24,서울 광진구 아차산로76길 19-0,기타레저스포츠,,1234,,,,,5,,,,,
59,찬스아이수영장,서울 광진구 아차산로36길 35-0,테마공원,,12,,,,,6,,,,,
60,더블유호텔아차산점,서울 광진구 천호대로138길 4-0,모텔,,23,2,,,,,,,,,
61,나루아트센터대공연장,서울 광진구 능동로 76-0,공연시설,,234,,,,,,1,,,,
62,티아라모텔,서울 광진구 동일로30길 17-0,모텔,,23,2,,,,,,,,,
63,신성골목시장,서울 광진구,시장,,1234,,,,,,,,,4,
64,화양시장,서울 광진구,시장,,1234,,,,,,,,,4,
65,문모텔,서울 광진구 동일로 440-0,모텔,,23,2,,,,,,,,,
66,박스호텔,서울 광진구 아차산로 465-0,모텔,,23,2,,,,,,,,,
67,뚝섬한강공원X게임장,서울 광진구,기타레저스포츠,,123,,,,,5,,,,,
68,그랜드모텔,서울 광진구 동일로 148-0,모텔,,23,2,,,,,,,,,
69,우인아트홀,서울 광진구 동일로 360-0,공연시설,,234,,,,,,1,,,,
70,키즈오토파크,서울 광진구 능동로 216-0,기타문화관광지,,4,,,,,6,,,,,
71,호텔스타건대점,서울 광진구 광나루로30길 3-0,호텔,,1324,1,,,,,,,,,
72,폼모텔,서울 광진구 아차산로 389-0,모텔,,23,2,,,,,,,,,
73,대하모텔,서울 광진구 아차산로 583-0,모텔,,23,2,,,,,,,,,
74,한강수상법당,서울 광진구 강변북로 50-0,종교성지,,1234,,,,,,,,,,
75,나무호텔,서울 광진구 아차산로76가길 12-0,호텔,,1234,1,,,,,,,,,
76,시마모텔,서울 광진구 아차산로26길 39-0,모텔,,23,2,,,,,,,,,
77,이마트/자양점,서울 광진구 아차산로 272-0,쇼핑,,123,,,,,,,,,,
78,테크노마트,서울 광진구 광나루로56길 85-0,쇼핑,,1234,,,,,,,,,,
